광역지자체,기초지자체,설치장소,설치주소,설치개수,비고
경남,창원시,경화동 행정복지센터,창원시 진해구 경화로8번길 5,1,
경남,창원시,병암동 행정복지센터,창원시 진해구 경화로16번길 31,1,
경남,창원시,석동 행정복지센터,창원시 진해구 돌리로3,1,
경남,창원시,이동 행정복지센터,창원시 진해구 냉천로12번길 9,1,
경남,창원시,자은동 행정복지센터,창원시 진해구 덕산로51번길 12,1,
경남,창원시,덕산동 행정복지센터,창원시 진해구 동진로157번길 5,1,
경남,창원시,풍호동 행정복지센터,창원시 진해구 진해대로1034번길 6,1,
경남,창원시,웅천동 행정복지센터,창원시 진해구 웅천중로 59,1,
경남,창원시,웅동1동 행정복지센터,창원시 진해구 웅동로57번가길 6,1,
경남,창원시,웅동2동 행정복지센터,창원시 진해구 용재로 46,1,
경남,진주시,롯데마트 진주점,진주시 동진로 440(충무공동),1,지하1층 박스포장대 옆
경남,진주시,이마트 진주점,진주시 진양호로 477(인사동),1,1층 고객센터 입구
경남,진주시,탑마트 서진주점,진주시 새평거로 136(평거동),2,3층 세탁소 옆(주차장 출구)
경남,진주시,탑마트 진주점,진주시 도동로 251(하대동),1,정문 앞
경남,진주시,홈플러스 진주점,진주시 대신로 304(상대동),1,지하1층 계산대 앞
경남,김해시,진영읍행정복지센터,경남 김해시 진영읍 여래로20번길 11 진영읍사무소,1,
경남,김해시,주촌면행정복지센터,경남 김해시 주촌면 서부로1638번길 12 주촌면사무소,1,
경남,김해시,진례면행정복지센터,경남 김해시 진례면 진례로 241 진례면사무소,1,
경남,김해시,한림면행정복지센터,경남 김해시 한림면 한림로 369,1,
경남,김해시,생림면행정복지센터,경남 김해시 생림면 봉림로 40 생림면사무소,1,
경남,김해시,상동면행정복지센터,경남 김해시 상동면 상동로 554 상동면사무소,1,
경남,김해시,대동면행정복지센터,경남 김해시 대동면 대동로 610 대동면사무소,1,
경남,김해시,동상동행정복지센터,경남 김해시 호계로517번길 8 동상동사무소,1,
경남,김해시,회현동행정복지센터,경남 김해시 가락로63번길 33,1,
경남,김해시,부원동행정복지센터,경남 김해시 김해대로2371번길 24-16 부원동사무소,1,
경남,김해시,내외동행정복지센터,경남 김해시 내외로 67,1,
경남,김해시,북부동행정복지센터,경남 김해시 해반천로 160,1,
경남,김해시,칠산서부동행정복지센터,경남 김해시 전하로208번길 7-13,1,
경남,김해시,활천동행정복지센터,경남 김해시 인제로11번길 51 활천동사무소,1,
경남,김해시,삼안동행정복지센터,경남 김해시 활천로255번길 12,1,
경남,김해시,불암동행정복지센터,경남 김해시 식만로 388 불암동사무소,1,
경남,김해시,장유1동행정복지센터,경남 김해시 금관대로 579,1,
경남,김해시,장유2동행정복지센터,경남 김해시 능동로 43,1,
경남,김해시,장유3동행정복지센터,경남 김해시 관동로 25 장유3동 주민센터,1,
경남,양산시,양산신도시4차동원로얄듀크비스타,양산시 물금읍 백호로 155,4,
경남,양산시,일신건영휴먼빌,양산시 물금읍 범어로 11,4,
경남,양산시,양우내안애5차 리버파크,양산시 물금읍 물금로 41,5,
경남,양산시,양산신도시3차동원로얄듀크비스타,양산시 물금읍 범구로 28,4,
경남,양산시,이지더원5차,양산시 물금읍 물금로 57,6,
경남,양산시,반도유보라2차,양산시 물금읍 범어로 57,8,
경남,양산시,우남퍼스트빌,양산시 물금읍 신주로 40,4,
경남,양산시,한양수자인 더퍼스트,양산시 물금읍 물금로 76,7,
경남,양산시,부영임대 2단지,양산시 물금읍 청운로 131,7,
경남,양산시,양산가촌휴먼시아,양산시 물금읍 가촌로 155,4,
경남,양산시,대방노블랜드6차 더클래스,양산시 물금읍 새실로 116,5,
경남,양산시,부영임대 1단지,양산시 물금읍 물금로 134,6,
경남,양산시,우미린,양산시 물금읍 범어로 77,8,
경남,양산시,양산물금엘에이치천년나무(행복주택),양산시 물금읍 청운로 42,5,
경남,양산시,범어현대,양산시 물금읍 오봉로 180,4,
경남,양산시,양산2차e-편한세상,양산시 물금읍 신주로 35,4,
경남,양산시,양산신도시LH5단지,양산시 물금읍 새실로 54,10,
경남,양산시,양산대방노블랜드8차 로얄카운티,양산시 물금읍 야리로 50,9,
경남,양산시,양산신도시LH1단지,양산시 물금읍 청운로 41,7,
경남,양산시,대동타운,양산시 물금읍 오봉로 165,9,
경남,양산시,양산물금대방노블랜드5차에듀카운티,양산시 물금읍 새실로 115,7,
경남,양산시,반도유보라4차,양산시 물금읍 백호로 91,10,
경남,양산시,양산신도시신창비바패밀리,양산시 물금읍 신주로 69,5,
경남,양산시,양산물금동일스위트,양산시 물금읍 가촌서로 93,12,
경남,양산시,대방노블랜드1차,양산시 물금읍 신주1길 46,15,
경남,양산시,이지더원2차,양산시 물금읍 물금로 75,17,
경남,양산시,한신휴플러스,양산시 동면 석산1길 10,4,
경남,양산시,양우내안애6차,양산시 동면 금오15길 29,6,
경남,양산시,양산신도시2차동원로얄듀크,양산시 동면 금오15길 9,6,
경남,양산시,극동,양산시 동면 계석로 10,7,
경남,양산시,e편한세상 남양산,양산시 동면 금오16길 65,11,
경남,양산시,e편한세상 남양산 2차,양산시 동면 금오13길 71,8,
경남,양산시,양산 이지더원 리버포레(3차),양산시 동면 금오16길 100,11,
경남,양산시,반도유보라 아이비파크 5,양산시 동면 금오16길 122,13,
경남,양산시,금산휴먼시아,양산시 동면 금산2길 12,5,
경남,양산시,양산신도시벽산블루밍(8단지),양산시 양주동 양주로 39,5,
경남,양산시,상록경남아너스빌,양산시 양주동 양주로 16,10,
경남,양산시,양산신도시주공3단지아파트,양산시 양주동 양주로 153,4,
경남,양산시,신도시현대,양산시 양주동 양주로 114,6,
경남,양산시,양산신도시뜰안채,양산시 양주동 양주로 113,4,
경남,양산시,신도시대동(황토방),양산시 양주동 양주로 154,7,
경남,양산시,청어람,양산시 양주동 양주로 94,24,
경남,양산시,지안스로가,양산시 중앙동 호국학도병길17,4,
경남,양산시,동원,양산시 삼성동 북정로 116,4,
경남,양산시,우방아이유쉘,양산시 삼성동 신기강변1길 11,5,
경남,양산시,네오파트,양산시 삼성동 북정서길 16,4,
경남,양산시,일동미라주,양산시 강서동 회현1길 48,7,
경남,양산시,양산대석 휴먼시아,양산시 상북면 양산대로 1360,5,
경남,양산시,우성스마트시티뷰,양산시 덕계동 덕계회야길16,4,
경남,양산시,대승1차,양산시 덕계동 웅상대로 866,4,
경남,양산시,동일스위트2차,양산시 덕계동 덕계5길 14,4,
경남,양산시,부영벽산,양산시 덕계동 덕계11길 12,4,
경남,양산시,두산위브,양산시 덕계동 신덕계3길36,9,
경남,양산시,동일스위트1차,양산시 평산동 신명로 88,4,
경남,양산시,코아루,양산시 평산동 평산북로 54,5,
경남,양산시,삼성명가,"양산시 평산동 평산중앙로 81,88",12,
경남,양산시,태원,양산시 평산동 신명로 73,4,
경남,양산시,봉우,양산시 평산동 신명로 87,4,
경남,양산시,평산휴먼시아,양산시 평산동 배움터길 11,5,
경남,양산시,양산롯데캐슬,양산시 소주동 진등길 26,7,
경남,양산시,서희스타힐스,양산시 소주동 모래들길57-27,7,
경남,양산시,소주휴먼시아,양산시 소주동 번영로 435,4,
경남,양산시,서창대동,양산시 소주동 소주로 182,4,
경남,양산시,화성파크드림,양산시 서창동 대운5길 7,4,
경남,양산시,유승한내들,양산시 서창동 삼호로 98,4,
경남,양산시,해인그린빌,양산시 서창동 삼호로 86,4,
경남,양산시,웅상 푸르지오,양산시 서창동 삼호로 74,4,
경남,양산시,대동이미지1차,양산시 서창동 대운로 354,4,
경남,양산시,명동 삼한 사랑채,양산시 서창동 대운로 145,7,
경북,포항시,대잠센트럴하이츠,경북 포항시 남구 희망대로 520,12,
경북,포항시,두산위브더제니스,경북 포항시 북구 새천년대로 1235,9,
전남,목포시,제일1차 APT,"미항로 206, 제일1차 APT 102동-103동",2,경비실 옆 설치
제주도,서귀포시,하모3리 재활용도움센터,대정읍 신영로36번길 69-11,1,실내설치
제주도,서귀포시,표선리 재활용도움센터,표선면 표선동서로 203-3,1,실내설치
제주도,서귀포시,중앙 재활용도움센터,서귀포시 중앙로62번길 20,1,실내설치
제주도,서귀포시,동홍동 재활용도움센터,서귀포시 동홍중앙로 99,1,실내설치
제주도,서귀포시,서홍동 재활용도움센터,서귀포시 홍중로 28,1,실내설치
제주도,서귀포시,새서귀포 재활용도움센터,서귀포시 신서귀로 87,1,실내설치
제주도,서귀포시,대천동 재활용도움센터,서귀포시 신서로 39,1,실내설치
